divid,exp.max.premath.std,max.premath.std,scaled.premath,exp.max.postmath.std,max.postmath.std,scaled.postmath,rank,male,numstud,bot20,bal,mumbai,year,city,classyearid
416,-0.00980764169644881,0,3,-0.003760729103452741,0,2,45,0,104,0,0,1,1,Mumbai,416
416,0.012428533706486364,0,7,-0.012526025791768688,0,4,56.5,0,104,0,0,1,1,Mumbai,416
416,-0.011730569483715973,0,4,-0.010210979252664683,0,3,68,0,104,0,0,1,1,Mumbai,416
416,-9.080702872152121e-4,0,6,-0.010379981369818462,0,5,68,1,104,0,0,1,1,Mumbai,416
416,-9.080702872152121e-4,0,6,-0.010379981369818462,0,5,63.5,0,104,0,0,1,1,Mumbai,416
416,0.026753440928014096,0,0,-0.010210979252664683,0,3,7.5,1,104,1,0,1,1,Mumbai,416
416,-0.00980764169644881,0,3,-0.003760729103452741,0,2,30,1,104,0,0,1,1,Mumbai,416
416,-0.0028251760575650157,0,2,-0.010210979252664683,0,3,45,1,104,0,0,1,1,Mumbai,416
416,-0.0028251760575650157,0,2,0.006641204624826037,0,1,3.5,1,104,1,0,1,1,Mumbai,416
416,0.05123344940392207,0,9,0.030072060481714475,0,8.5,86.5,1,104,0,0,1,1,Mumbai,416
416,0.7022094137270131,1,19,0.5597919577059098,1,19,96.5,1,104,0,0,1,1,Mumbai,416
416,-0.008813469642445509,0,5,-0.012526025791768688,0,4,45,1,104,0,0,1,1,Mumbai,416
416,-0.0028251760575650157,0,2,0.29649848760733805,1,15,23.5,1,104,0,0,1,1,Mumbai,416
416,-0.00980764169644881,0,3,0.4193332461017826,0,17,37,1,104,0,0,1,1,Mumbai,416
416,0.030824812581009192,0,8,0.21465567572322397,0,13.5,86.5,1,104,0,0,1,1,Mumbai,416
416,0.030824812581009192,0,8,1.582850216423377,2,25,86.5,1,104,0,0,1,1,Mumbai,416
416,0.012428533706486364,0,7,0.4193332461017826,0,17,86.5,1,104,0,0,1,1,Mumbai,416
416,0.030824812581009192,0,8,0.8830872055735696,1,21.5,73,1,104,0,0,1,1,Mumbai,416
416,0.009325595471175823,0,1,0.06535227767432476,0,10,7.5,1,104,1,0,1,1,Mumbai,416
416,-0.011730569483715973,0,4,-0.0038836233964562295,0,6,63.5,0,104,0,0,1,1,Mumbai,416
416,-0.008813469642445509,0,5,0.06535227767432476,0,10,51,1,104,0,0,1,1,Mumbai,416
416,0.009325595471175823,0,1,-0.010210979252664683,0,3,7.5,0,104,1,0,1,1,Mumbai,416
416,0.009325595471175823,0,1,0.05155480994513352,0,9.5,11.5,0,104,1,0,1,1,Mumbai,416
416,-0.010867875432043757,0,4.5,-0.003760729103452741,0,2,34.5,0,104,0,0,1,1,Mumbai,416
416,-9.080702872152121e-4,0,6,0.1425388263957793,0,12,40,0,104,0,0,1,1,Mumbai,416
416,-0.00980764169644881,0,3,-0.0038836233964562295,0,6,17.5,0,104,1,0,1,1,Mumbai,416
416,-0.00980764169644881,0,3,-0.003760729103452741,0,2,30,0,104,0,0,1,1,Mumbai,416
416,-0.011730569483715973,0,4,0.02072267688210639,0,8,17.5,0,104,1,0,1,1,Mumbai,416
416,-0.008813469642445509,0,5,-0.010379981369818462,0,5,17.5,0,104,1,0,1,1,Mumbai,416
